EmployeeID,CurrentSkill,ProficiencyLevel,ProjectSkillRequired,Gap,GapBinary
E91,JAVA,Advanced,SQL,No,0
E92,JAVA,Beginner,PYTHON,Yes,1
E93,JAVA,Intermediate,JAVA,Yes,1
E94,JAVA,Beginner,PYTHON,No,0
E95,PYTHON,Intermediate,PYTHON,Yes,1
E96,EXCEL,Intermediate,ML,No,0
E97,SQL,Advanced,SQL,Yes,1
E98,EXCEL,Advanced,PYTHON,No,0
E99,PYTHON,Beginner,SQL,Yes,1
E100,EXCEL,Advanced,PYTHON,Yes,1
E101,PYTHON,Beginner,JAVA,No,0
E102,EXCEL,Intermediate,JAVA,Yes,1
E103,JAVA,Advanced,ML,No,0
E104,EXCEL,Beginner,ML,No,0
E105,JAVA,Intermediate,SQL,Yes,1
E106,JAVA,Intermediate,ML,No,0
E107,ML,Advanced,SQL,No,0
E108,DATA ANALYSIS,Advanced,SQL,No,0
E109,JAVA,Beginner,JAVA,No,0
E110,JAVA,Intermediate,SQL,Yes,1
E111,SQL,Advanced,SQL,No,0
E112,DATA ANALYSIS,Beginner,ML,Yes,1
E113,EXCEL,Intermediate,SQL,No,0
E114,JAVA,Intermediate,SQL,No,0
E115,JAVA,Advanced,ML,No,0
E116,ML,Intermediate,JAVA,No,0
E117,EXCEL,Advanced,PYTHON,Yes,1
E118,PYTHON,Beginner,JAVA,No,0
E119,SQL,Beginner,JAVA,Yes,1
E120,SQL,Advanced,JAVA,Yes,1
E121,DATA ANALYSIS,Advanced,SQL,No,0
E122,PYTHON,Intermediate,JAVA,Yes,1
E123,PYTHON,Intermediate,ML,Yes,1
E124,SQL,Advanced,SQL,No,0
E125,SQL,Advanced,PYTHON,No,0
E126,DATA ANALYSIS,Beginner,SQL,No,0
E127,EXCEL,Intermediate,JAVA,No,0
E128,DATA ANALYSIS,Advanced,PYTHON,Yes,1
E129,EXCEL,Advanced,JAVA,No,0
E130,PYTHON,Intermediate,ML,Yes,1
E131,EXCEL,Advanced,SQL,No,0
E132,ML,Beginner,JAVA,No,0
E133,ML,Intermediate,JAVA,Yes,1
E134,JAVA,Advanced,JAVA,Yes,1
E135,DATA ANALYSIS,Beginner,SQL,Yes,1
E136,PYTHON,Intermediate,PYTHON,No,0
E137,PYTHON,Beginner,ML,No,0
E138,SQL,Advanced,ML,No,0
E139,SQL,Beginner,SQL,No,0
E140,SQL,Advanced,SQL,No,0
E141,PYTHON,Beginner,SQL,Yes,1
E142,DATA ANALYSIS,Intermediate,JAVA,Yes,1
E143,ML,Advanced,ML,No,0
E144,JAVA,Advanced,SQL,No,0
E145,JAVA,Intermediate,JAVA,Yes,1
E146,SQL,Intermediate,JAVA,Yes,1
E147,ML,Intermediate,JAVA,No,0
E148,EXCEL,Advanced,PYTHON,No,0
E149,JAVA,Intermediate,JAVA,Yes,1
E150,SQL,Advanced,PYTHON,Yes,1
E151,PYTHON,Intermediate,JAVA,No,0
E152,EXCEL,Beginner,JAVA,No,0
E153,SQL,Beginner,JAVA,Yes,1
E154,DATA ANALYSIS,Beginner,JAVA,Yes,1
E155,DATA ANALYSIS,Intermediate,JAVA,Yes,1
E156,EXCEL,Intermediate,PYTHON,Yes,1
E157,SQL,Advanced,PYTHON,Yes,1
E158,PYTHON,Beginner,SQL,No,0
E159,DATA ANALYSIS,Beginner,JAVA,No,0
E160,ML,Beginner,JAVA,Yes,1
E161,EXCEL,Advanced,SQL,No,0
E162,EXCEL,Beginner,ML,No,0
E163,JAVA,Beginner,PYTHON,Yes,1
E164,EXCEL,Advanced,ML,Yes,1
E165,DATA ANALYSIS,Advanced,ML,Yes,1
E166,ML,Beginner,SQL,No,0
E167,JAVA,Advanced,ML,No,0
E168,JAVA,Advanced,PYTHON,No,0
E169,PYTHON,Advanced,PYTHON,Yes,1
E170,SQL,Advanced,PYTHON,No,0
E171,ML,Beginner,PYTHON,No,0
E172,EXCEL,Advanced,PYTHON,No,0
E173,JAVA,Advanced,ML,No,0
E174,DATA ANALYSIS,Beginner,ML,No,0
E175,JAVA,Beginner,ML,Yes,1
E176,DATA ANALYSIS,Advanced,SQL,No,0
E177,PYTHON,Intermediate,SQL,Yes,1
E178,ML,Advanced,JAVA,No,0
E179,PYTHON,Intermediate,ML,No,0
E180,JAVA,Intermediate,ML,Yes,1
E181,ML,Advanced,ML,Yes,1
E182,SQL,Beginner,PYTHON,No,0
E183,ML,Advanced,JAVA,Yes,1
E184,DATA ANALYSIS,Beginner,SQL,Yes,1
E185,ML,Beginner,ML,Yes,1
E186,ML,Intermediate,ML,No,0
E187,JAVA,Advanced,ML,Yes,1
E188,DATA ANALYSIS,Advanced,PYTHON,No,0
E189,JAVA,Advanced,PYTHON,Yes,1
E190,EXCEL,Intermediate,PYTHON,Yes,1
E191,JAVA,Beginner,JAVA,Yes,1
E192,JAVA,Beginner,JAVA,No,0
E193,EXCEL,Intermediate,ML,No,0
E194,SQL,Advanced,PYTHON,No,0
E195,EXCEL,Intermediate,JAVA,No,0
E196,JAVA,Beginner,ML,Yes,1
E197,ML,Beginner,PYTHON,No,0
E198,PYTHON,Beginner,PYTHON,No,0
E199,JAVA,Beginner,SQL,No,0
E200,EXCEL,Beginner,SQL,Yes,1
E201,SQL,Beginner,PYTHON,No,0
E202,JAVA,Beginner,JAVA,Yes,1
E203,SQL,Intermediate,SQL,Yes,1
E204,SQL,Beginner,JAVA,No,0
E205,ML,Intermediate,JAVA,No,0
E206,ML,Beginner,SQL,No,0
E207,PYTHON,Beginner,JAVA,No,0
E208,PYTHON,Intermediate,JAVA,No,0
E209,JAVA,Advanced,ML,Yes,1
E210,DATA ANALYSIS,Beginner,SQL,Yes,1
E211,DATA ANALYSIS,Beginner,JAVA,Yes,1
E212,DATA ANALYSIS,Advanced,PYTHON,No,0
E213,JAVA,Intermediate,ML,No,0
E214,ML,Advanced,PYTHON,Yes,1
E215,SQL,Beginner,JAVA,No,0
E216,JAVA,Intermediate,JAVA,No,0
E217,EXCEL,Advanced,SQL,Yes,1
E218,PYTHON,Advanced,ML,Yes,1
E219,ML,Advanced,PYTHON,No,0
E220,JAVA,Intermediate,SQL,Yes,1
E221,ML,Advanced,SQL,No,0
E222,SQL,Beginner,PYTHON,No,0
E223,DATA ANALYSIS,Beginner,ML,Yes,1
E224,PYTHON,Advanced,PYTHON,No,0
E225,PYTHON,Intermediate,PYTHON,No,0
E226,JAVA,Advanced,JAVA,No,0
E227,EXCEL,Beginner,SQL,No,0
E228,DATA ANALYSIS,Beginner,SQL,No,0
E229,DATA ANALYSIS,Beginner,SQL,No,0
E230,DATA ANALYSIS,Beginner,PYTHON,No,0
E231,DATA ANALYSIS,Beginner,PYTHON,Yes,1
E232,SQL,Beginner,SQL,No,0
E233,SQL,Intermediate,PYTHON,No,0
E234,ML,Intermediate,SQL,No,0
E235,SQL,Beginner,JAVA,Yes,1
E236,PYTHON,Advanced,JAVA,No,0
E237,JAVA,Intermediate,ML,No,0
E238,DATA ANALYSIS,Intermediate,JAVA,No,0
E239,EXCEL,Advanced,PYTHON,Yes,1
E240,EXCEL,Advanced,SQL,No,0
E241,ML,Beginner,PYTHON,No,0
E242,PYTHON,Beginner,SQL,No,0
E243,DATA ANALYSIS,Beginner,JAVA,Yes,1
E244,SQL,Advanced,ML,Yes,1
E245,EXCEL,Beginner,JAVA,No,0
E246,EXCEL,Advanced,JAVA,No,0
E247,EXCEL,Intermediate,PYTHON,Yes,1
E248,SQL,Advanced,JAVA,No,0
E249,DATA ANALYSIS,Intermediate,PYTHON,Yes,1
E250,ML,Intermediate,PYTHON,Yes,1
E251,JAVA,Advanced,PYTHON,No,0
E252,EXCEL,Advanced,SQL,No,0
E253,SQL,Advanced,JAVA,Yes,1
E254,ML,Beginner,JAVA,Yes,1
E255,JAVA,Advanced,ML,No,0
E256,JAVA,Beginner,JAVA,No,0
E257,DATA ANALYSIS,Beginner,PYTHON,No,0
E258,JAVA,Intermediate,ML,Yes,1
E259,JAVA,Beginner,JAVA,Yes,1
E260,EXCEL,Intermediate,SQL,Yes,1
E261,PYTHON,Intermediate,ML,No,0
E262,EXCEL,Beginner,SQL,Yes,1
E263,PYTHON,Advanced,PYTHON,No,0
E264,JAVA,Beginner,SQL,Yes,1
E265,PYTHON,Beginner,SQL,No,0
E266,PYTHON,Intermediate,JAVA,Yes,1
E267,ML,Beginner,PYTHON,Yes,1
E268,ML,Intermediate,SQL,Yes,1
E269,SQL,Beginner,PYTHON,Yes,1
E270,SQL,Advanced,JAVA,No,0
E271,ML,Beginner,ML,Yes,1
E272,DATA ANALYSIS,Advanced,JAVA,Yes,1
E273,DATA ANALYSIS,Intermediate,PYTHON,No,0
E274,SQL,Beginner,PYTHON,Yes,1
E275,DATA ANALYSIS,Intermediate,PYTHON,Yes,1
E276,PYTHON,Beginner,SQL,No,0
E277,DATA ANALYSIS,Advanced,SQL,No,0
E278,EXCEL,Advanced,PYTHON,No,0
E279,ML,Intermediate,SQL,Yes,1
E280,JAVA,Advanced,SQL,No,0
E281,ML,Beginner,SQL,Yes,1
E282,EXCEL,Intermediate,ML,Yes,1
E283,PYTHON,Beginner,PYTHON,Yes,1
E284,SQL,Intermediate,JAVA,No,0
E285,EXCEL,Advanced,ML,No,0
E286,EXCEL,Advanced,JAVA,No,0
E287,EXCEL,Beginner,SQL,No,0
E288,DATA ANALYSIS,Beginner,SQL,Yes,1
E289,ML,Intermediate,SQL,No,0
E290,EXCEL,Advanced,SQL,No,0
E291,JAVA,Advanced,PYTHON,No,0
E292,SQL,Intermediate,PYTHON,No,0
E293,JAVA,Beginner,PYTHON,Yes,1
E294,SQL,Intermediate,JAVA,Yes,1
E295,DATA ANALYSIS,Beginner,PYTHON,No,0
E296,EXCEL,Intermediate,ML,No,0
E297,ML,Advanced,JAVA,No,0
E298,JAVA,Advanced,PYTHON,No,0
E299,JAVA,Advanced,ML,No,0
E300,JAVA,Advanced,SQL,No,0
E301,EXCEL,Beginner,ML,No,0
E302,DATA ANALYSIS,Intermediate,JAVA,Yes,1
E303,ML,Intermediate,JAVA,No,0
E304,DATA ANALYSIS,Beginner,JAVA,Yes,1
E305,PYTHON,Advanced,SQL,Yes,1
E306,ML,Intermediate,PYTHON,Yes,1
E307,DATA ANALYSIS,Intermediate,ML,Yes,1
E308,PYTHON,Intermediate,SQL,No,0
E309,PYTHON,Advanced,SQL,No,0
E310,SQL,Intermediate,SQL,Yes,1
E311,SQL,Intermediate,ML,No,0
E312,ML,Beginner,SQL,No,0
E313,PYTHON,Intermediate,PYTHON,No,0
E314,PYTHON,Advanced,SQL,Yes,1
E315,SQL,Intermediate,SQL,No,0
E316,DATA ANALYSIS,Advanced,SQL,Yes,1
E317,DATA ANALYSIS,Advanced,ML,Yes,1
E318,PYTHON,Intermediate,ML,No,0
E319,PYTHON,Advanced,ML,Yes,1
E320,PYTHON,Intermediate,ML,No,0
E321,PYTHON,Beginner,ML,Yes,1
E322,ML,Advanced,JAVA,No,0
E323,ML,Intermediate,PYTHON,No,0
E324,DATA ANALYSIS,Intermediate,ML,No,0
E325,DATA ANALYSIS,Intermediate,PYTHON,Yes,1
E326,JAVA,Beginner,SQL,Yes,1
E327,DATA ANALYSIS,Beginner,PYTHON,No,0
E328,EXCEL,Intermediate,ML,Yes,1
E329,EXCEL,Intermediate,ML,Yes,1
E330,DATA ANALYSIS,Intermediate,JAVA,No,0
E331,JAVA,Beginner,SQL,Yes,1
E332,SQL,Advanced,ML,No,0
E333,ML,Beginner,SQL,Yes,1
E334,ML,Beginner,PYTHON,No,0
E335,PYTHON,Beginner,ML,No,0
E336,DATA ANALYSIS,Advanced,SQL,Yes,1
E337,ML,Advanced,PYTHON,No,0
E338,DATA ANALYSIS,Advanced,ML,No,0
E339,DATA ANALYSIS,Advanced,SQL,No,0
E340,EXCEL,Advanced,PYTHON,No,0
E341,SQL,Advanced,ML,Yes,1
E342,EXCEL,Advanced,PYTHON,Yes,1
E343,PYTHON,Intermediate,SQL,Yes,1
E344,ML,Beginner,JAVA,Yes,1
E345,ML,Intermediate,JAVA,Yes,1
E346,DATA ANALYSIS,Advanced,SQL,No,0
E347,ML,Beginner,JAVA,No,0
E348,DATA ANALYSIS,Beginner,ML,Yes,1
E349,SQL,Beginner,ML,Yes,1
E350,ML,Intermediate,SQL,Yes,1
E351,ML,Advanced,PYTHON,Yes,1
E352,JAVA,Advanced,ML,No,0
E353,JAVA,Intermediate,PYTHON,No,0
E354,JAVA,Beginner,SQL,No,0
E355,EXCEL,Beginner,ML,No,0
E356,ML,Intermediate,ML,No,0
E357,PYTHON,Intermediate,ML,No,0
E358,EXCEL,Beginner,JAVA,Yes,1
E359,EXCEL,Advanced,SQL,No,0
E360,EXCEL,Beginner,ML,No,0
E361,PYTHON,Advanced,JAVA,Yes,1
E362,ML,Intermediate,SQL,No,0
E363,DATA ANALYSIS,Intermediate,SQL,No,0
E364,EXCEL,Beginner,PYTHON,No,0
E365,EXCEL,Beginner,JAVA,No,0
E366,PYTHON,Beginner,ML,No,0
E367,JAVA,Intermediate,SQL,No,0
E368,EXCEL,Advanced,ML,No,0
E369,PYTHON,Intermediate,JAVA,Yes,1
E370,ML,Advanced,SQL,Yes,1
E371,DATA ANALYSIS,Intermediate,ML,No,0
E372,DATA ANALYSIS,Beginner,PYTHON,Yes,1
E373,JAVA,Advanced,PYTHON,Yes,1
E374,DATA ANALYSIS,Beginner,PYTHON,No,0
E375,JAVA,Advanced,JAVA,No,0
E376,PYTHON,Advanced,JAVA,No,0
E377,PYTHON,Beginner,ML,No,0
E378,DATA ANALYSIS,Advanced,SQL,Yes,1
E379,JAVA,Intermediate,JAVA,No,0
E380,EXCEL,Advanced,SQL,No,0
E381,JAVA,Beginner,PYTHON,Yes,1
E382,DATA ANALYSIS,Advanced,PYTHON,No,0
E383,ML,Intermediate,JAVA,No,0
E384,JAVA,Advanced,JAVA,Yes,1
E385,EXCEL,Intermediate,SQL,No,0
E386,ML,Advanced,JAVA,No,0
E387,EXCEL,Intermediate,PYTHON,Yes,1
E388,SQL,Intermediate,SQL,No,0
E389,JAVA,Intermediate,ML,Yes,1
E390,ML,Advanced,SQL,Yes,1
E391,JAVA,Beginner,PYTHON,Yes,1
E392,ML,Intermediate,ML,No,0
E393,ML,Intermediate,JAVA,No,0
E394,SQL,Intermediate,PYTHON,No,0
E395,JAVA,Intermediate,SQL,Yes,1
E396,JAVA,Intermediate,ML,No,0
E397,EXCEL,Beginner,JAVA,No,0
E398,ML,Advanced,ML,Yes,1
E399,DATA ANALYSIS,Intermediate,JAVA,No,0
E400,PYTHON,Advanced,ML,No,0
E401,ML,Beginner,JAVA,Yes,1
E402,DATA ANALYSIS,Beginner,JAVA,No,0
E403,EXCEL,Intermediate,JAVA,Yes,1
E404,DATA ANALYSIS,Beginner,ML,No,0
E405,EXCEL,Beginner,ML,No,0
E406,DATA ANALYSIS,Intermediate,PYTHON,No,0
E407,DATA ANALYSIS,Beginner,ML,No,0
E408,JAVA,Advanced,SQL,No,0
E409,DATA ANALYSIS,Intermediate,JAVA,No,0
E410,DATA ANALYSIS,Beginner,SQL,No,0
E411,SQL,Advanced,PYTHON,No,0
E412,ML,Beginner,SQL,No,0
E413,SQL,Beginner,JAVA,Yes,1
E414,EXCEL,Advanced,PYTHON,No,0
E415,ML,Beginner,JAVA,No,0
E416,JAVA,Advanced,SQL,Yes,1
E417,DATA ANALYSIS,Advanced,JAVA,No,0
E418,EXCEL,Advanced,SQL,Yes,1
E419,EXCEL,Intermediate,JAVA,Yes,1
E420,PYTHON,Advanced,PYTHON,No,0
E421,EXCEL,Advanced,PYTHON,No,0
E422,EXCEL,Beginner,PYTHON,No,0
E423,PYTHON,Advanced,SQL,Yes,1
E424,JAVA,Advanced,ML,No,0
E425,ML,Beginner,JAVA,No,0
E426,PYTHON,Beginner,ML,Yes,1
E427,JAVA,Intermediate,PYTHON,Yes,1
E428,ML,Advanced,PYTHON,No,0
E429,DATA ANALYSIS,Beginner,JAVA,No,0
E430,EXCEL,Intermediate,PYTHON,No,0
E431,PYTHON,Advanced,SQL,No,0
E432,DATA ANALYSIS,Intermediate,PYTHON,No,0
E433,EXCEL,Intermediate,JAVA,Yes,1
E434,SQL,Beginner,ML,No,0
E435,JAVA,Beginner,SQL,No,0
E436,DATA ANALYSIS,Intermediate,ML,Yes,1
E437,SQL,Intermediate,JAVA,Yes,1
E438,PYTHON,Beginner,SQL,No,0
E439,DATA ANALYSIS,Advanced,ML,No,0
E440,DATA ANALYSIS,Beginner,SQL,No,0
E441,JAVA,Beginner,JAVA,Yes,1
E442,PYTHON,Intermediate,JAVA,Yes,1
E443,PYTHON,Advanced,SQL,Yes,1
E444,DATA ANALYSIS,Advanced,PYTHON,Yes,1
E445,ML,Advanced,JAVA,No,0
E446,SQL,Intermediate,ML,No,0
E447,DATA ANALYSIS,Advanced,PYTHON,No,0
E448,JAVA,Advanced,SQL,Yes,1
E449,JAVA,Advanced,ML,No,0
E450,JAVA,Intermediate,JAVA,Yes,1
E451,PYTHON,Intermediate,JAVA,Yes,1
E452,EXCEL,Intermediate,SQL,Yes,1
E453,SQL,Beginner,SQL,Yes,1
E454,DATA ANALYSIS,Beginner,ML,No,0
E455,SQL,Intermediate,PYTHON,No,0
E456,JAVA,Intermediate,SQL,No,0
E457,ML,Intermediate,ML,No,0
E458,EXCEL,Advanced,ML,Yes,1
E459,EXCEL,Intermediate,ML,Yes,1
E460,SQL,Intermediate,PYTHON,No,0
E461,DATA ANALYSIS,Beginner,PYTHON,No,0
E462,EXCEL,Advanced,JAVA,No,0
E463,EXCEL,Beginner,ML,No,0
E464,DATA ANALYSIS,Intermediate,ML,No,0
E465,SQL,Advanced,SQL,Yes,1
E466,ML,Intermediate,JAVA,No,0
E467,JAVA,Intermediate,ML,Yes,1
E468,SQL,Intermediate,JAVA,No,0
E469,DATA ANALYSIS,Beginner,PYTHON,No,0
E470,EXCEL,Intermediate,ML,No,0
E471,SQL,Intermediate,JAVA,No,0
E472,EXCEL,Intermediate,ML,Yes,1
E473,SQL,Advanced,ML,Yes,1
E474,ML,Beginner,ML,No,0
E475,EXCEL,Advanced,PYTHON,No,0
E476,JAVA,Advanced,PYTHON,No,0
E477,PYTHON,Advanced,ML,No,0
E478,EXCEL,Advanced,JAVA,No,0
E479,SQL,Advanced,ML,Yes,1
E480,JAVA,Beginner,JAVA,No,0
E481,DATA ANALYSIS,Beginner,JAVA,No,0
E482,PYTHON,Beginner,JAVA,Yes,1
E483,EXCEL,Advanced,SQL,Yes,1
E484,DATA ANALYSIS,Beginner,PYTHON,No,0
E485,SQL,Advanced,SQL,Yes,1
E486,DATA ANALYSIS,Advanced,JAVA,Yes,1
E487,ML,Beginner,PYTHON,Yes,1
E488,DATA ANALYSIS,Intermediate,PYTHON,Yes,1
E489,DATA ANALYSIS,Beginner,JAVA,No,0
E490,EXCEL,Intermediate,ML,No,0
E491,ML,Intermediate,SQL,No,0
E492,PYTHON,Intermediate,SQL,Yes,1
E493,PYTHON,Intermediate,JAVA,Yes,1
E494,PYTHON,Intermediate,JAVA,No,0
E495,DATA ANALYSIS,Advanced,ML,Yes,1
E496,PYTHON,Beginner,PYTHON,No,0
E497,DATA ANALYSIS,Beginner,SQL,Yes,1
E498,JAVA,Beginner,JAVA,No,0
E499,EXCEL,Advanced,PYTHON,Yes,1
E500,ML,Beginner,PYTHON,Yes,1
E501,DATA ANALYSIS,Advanced,PYTHON,Yes,1
E502,EXCEL,Advanced,ML,Yes,1
E503,PYTHON,Intermediate,ML,No,0
E504,DATA ANALYSIS,Intermediate,JAVA,Yes,1
E505,JAVA,Advanced,JAVA,No,0
E506,EXCEL,Intermediate,PYTHON,No,0
E507,EXCEL,Advanced,SQL,Yes,1
E508,SQL,Advanced,PYTHON,Yes,1
E509,DATA ANALYSIS,Advanced,PYTHON,No,0
E510,ML,Advanced,JAVA,No,0
E511,ML,Intermediate,JAVA,No,0
E512,SQL,Advanced,PYTHON,Yes,1
E513,ML,Intermediate,ML,Yes,1
E514,JAVA,Beginner,ML,No,0
E515,DATA ANALYSIS,Beginner,SQL,Yes,1
E516,DATA ANALYSIS,Advanced,PYTHON,Yes,1
E517,EXCEL,Intermediate,SQL,No,0
E518,PYTHON,Beginner,JAVA,Yes,1
E519,ML,Advanced,JAVA,No,0
E520,PYTHON,Advanced,SQL,No,0
E521,ML,Intermediate,ML,Yes,1
E522,DATA ANALYSIS,Beginner,JAVA,No,0
E523,JAVA,Advanced,ML,No,0
E524,EXCEL,Advanced,JAVA,Yes,1
E525,DATA ANALYSIS,Advanced,JAVA,No,0
E526,JAVA,Advanced,SQL,No,0
E527,EXCEL,Beginner,PYTHON,Yes,1
E528,ML,Advanced,JAVA,No,0
E529,PYTHON,Advanced,PYTHON,Yes,1
E530,ML,Intermediate,PYTHON,No,0
E531,SQL,Beginner,ML,Yes,1
E532,SQL,Intermediate,ML,No,0
E533,ML,Beginner,ML,Yes,1
E534,ML,Advanced,PYTHON,No,0
E535,EXCEL,Advanced,JAVA,Yes,1
E536,PYTHON,Intermediate,SQL,No,0
E537,SQL,Intermediate,PYTHON,No,0
E538,ML,Intermediate,JAVA,No,0
E539,ML,Intermediate,SQL,Yes,1
E540,JAVA,Intermediate,SQL,No,0
E541,ML,Beginner,PYTHON,Yes,1
E542,EXCEL,Intermediate,PYTHON,Yes,1
E543,ML,Beginner,JAVA,No,0
E544,PYTHON,Intermediate,PYTHON,No,0
E545,EXCEL,Intermediate,SQL,No,0
E546,ML,Beginner,ML,No,0
E547,SQL,Advanced,JAVA,No,0
E548,DATA ANALYSIS,Intermediate,JAVA,No,0
E549,PYTHON,Advanced,ML,No,0
E550,JAVA,Beginner,SQL,No,0
E551,SQL,Advanced,ML,Yes,1
E552,JAVA,Beginner,JAVA,No,0
E553,DATA ANALYSIS,Advanced,JAVA,No,0
E554,SQL,Intermediate,PYTHON,Yes,1
E555,SQL,Advanced,SQL,Yes,1
E556,SQL,Advanced,SQL,Yes,1
E557,EXCEL,Intermediate,SQL,No,0
E558,SQL,Beginner,PYTHON,Yes,1
E559,ML,Intermediate,SQL,Yes,1
E560,DATA ANALYSIS,Beginner,ML,No,0
E561,DATA ANALYSIS,Intermediate,PYTHON,Yes,1
E562,ML,Beginner,SQL,Yes,1
E563,ML,Intermediate,JAVA,No,0
E564,JAVA,Intermediate,ML,Yes,1
E565,SQL,Advanced,SQL,Yes,1
E566,DATA ANALYSIS,Beginner,ML,No,0
E567,JAVA,Beginner,PYTHON,Yes,1
E568,JAVA,Intermediate,SQL,Yes,1
E569,SQL,Intermediate,JAVA,No,0
E570,ML,Advanced,ML,No,0
E571,ML,Advanced,PYTHON,No,0
E572,ML,Beginner,PYTHON,No,0
E573,ML,Intermediate,PYTHON,Yes,1
E574,SQL,Intermediate,JAVA,No,0
E575,DATA ANALYSIS,Advanced,ML,Yes,1
E576,EXCEL,Intermediate,SQL,No,0
E577,PYTHON,Advanced,PYTHON,No,0
E578,ML,Beginner,PYTHON,Yes,1
E579,EXCEL,Beginner,PYTHON,Yes,1
E580,DATA ANALYSIS,Advanced,ML,No,0
E581,DATA ANALYSIS,Advanced,JAVA,Yes,1
E582,SQL,Intermediate,PYTHON,No,0
E583,EXCEL,Beginner,SQL,No,0
E584,PYTHON,Intermediate,ML,Yes,1
E585,SQL,Advanced,JAVA,No,0
E586,PYTHON,Intermediate,ML,No,0
E587,ML,Intermediate,JAVA,Yes,1
